lp_id,case_group,brief_role,brief_uid,model_name,lp_text,lp_source,decision,reject_reason,evidence_para_ids_joined,evidence_text,notes
LP_011,23-1122,petitioner,23-1122-petitioners,Llama-3.1-8B-Instruct,"H.B. 1181's age-verification requirement is triply flawed: it is overinclusive, underinclusive, and not the least restrictive means of pursuing the state's interest.",model_generated,reject,duplication and not atomic,p5,"[p5] B. Under the proper standard of strict scrutiny, this case is readily resolved. As the district court found and the Fifth Circuit did not refute, H.B. 1181’s age-verification requirement is triply flawed: it is","can be divided into three legal propositions, which have been covered separately in other propositions generated"
LP_012,23-1122,petitioner,23-1122-petitioners,Llama-3.1-8B-Instruct,H.B. 1181's age-verification requirement is overinclusive because it restricts adults' access to speech that is not even sexual and not even arguably obscene for minors.,model_generated,accept,,p6,"[p6] overinclusive, underinclusive, and not the least restrictive means of pursuing the state’s interest in protecting minors. It is overinclusive because— through its application to entire websites that have more than one-third content inappropriate for minors— it restricts adults’ access to speech that is not even sexual and not even arguably obscene for minors. It is underinclusive because it exempts search engines and social-media sites that make available to minors huge quantities of the same content that the statute restricts on petitioners’ websites. And it fails to adopt less restrictive and more effective alternatives to burdensome online age-verification, such as the content-filtering software that this Court identified in Ashcroft. Each of those defects is independently fatal; together, they underscore that H.B. 1181 is designed foremost to target disfavored speakers—whom the law brands with self-condemning “health warnings”— rather than to meet the state’s purported objective. Such speaker-based discrimination affords yet another reason why petitioners’ challenge will likely succeed.",
LP_013,23-1122,petitioner,23-1122-petitioners,Llama-3.1-8B-Instruct,H.B. 1181's age-verification requirement is underinclusive because it exempts search engines and social-media sites that make available to minors huge quantities of the same content.,model_generated,accept,,p6,"[p6] overinclusive, underinclusive, and not the least restrictive means of pursuing the state’s interest in protecting minors. It is overinclusive because— through its application to entire websites that have more than one-third content inappropriate for minors— it restricts adults’ access to speech that is not even sexual and not even arguably obscene for minors. It is underinclusive because it exempts search engines and social-media sites that make available to minors huge quantities of the same content that the statute restricts on petitioners’ websites. And it fails to adopt less restrictive and more effective alternatives to burdensome online age-verification, such as the content-filtering software that this Court identified in Ashcroft. Each of those defects is independently fatal; together, they underscore that H.B. 1181 is designed foremost to target disfavored speakers—whom the law brands with self-condemning “health warnings”— rather than to meet the state’s purported objective. Such speaker-based discrimination affords yet another reason why petitioners’ challenge will likely succeed.",
LP_014,23-1122,petitioner,23-1122-petitioners,Llama-3.1-8B-Instruct,H.B. 1181's age-verification requirement fails to adopt less restrictive and more effective alternatives to burdensome online age-verification.,model_generated,accept,,p6,"[p6] overinclusive, underinclusive, and not the least restrictive means of pursuing the state’s interest in protecting minors. It is overinclusive because— through its application to entire websites that have more than one-third content inappropriate for minors— it restricts adults’ access to speech that is not even sexual and not even arguably obscene for minors. It is underinclusive because it exempts search engines and social-media sites that make available to minors huge quantities of the same content that the statute restricts on petitioners’ websites. And it fails to adopt less restrictive and more effective alternatives to burdensome online age-verification, such as the content-filtering software that this Court identified in Ashcroft. Each of those defects is independently fatal; together, they underscore that H.B. 1181 is designed foremost to target disfavored speakers—whom the law brands with self-condemning “health warnings”— rather than to meet the state’s purported objective. Such speaker-based discrimination affords yet another reason why petitioners’ challenge will likely succeed.",
LP_015,23-1122,petitioner,23-1122-petitioners,Llama-3.1-8B-Instruct,"H.B. 1181 is designed foremost to target disfavored speakers,  which is another reason why petitioners’ challenge will likely succeed.",expert_added,not_applicable,,p6,"[p6] overinclusive, underinclusive, and not the least restrictive means of pursuing the state’s interest in protecting minors. It is overinclusive because— through its application to entire websites that have more than one-third content inappropriate for minors— it restricts adults’ access to speech that is not even sexual and not even arguably obscene for minors. It is underinclusive because it exempts search engines and social-media sites that make available to minors huge quantities of the same content that the statute restricts on petitioners’ websites. And it fails to adopt less restrictive and more effective alternatives to burdensome online age-verification, such as the content-filtering software that this Court identified in Ashcroft. Each of those defects is independently fatal; together, they underscore that H.B. 1181 is designed foremost to target disfavored speakers—whom the law brands with self-condemning “health warnings”— rather than to meet the state’s purported objective. Such speaker-based discrimination affords yet another reason why petitioners’ challenge will likely succeed.",
LP_016,23-1122,petitioner,23-1122-petitioners,Llama-3.1-8B-Instruct,"Petitioners satisfy the remaining requirements for a preliminary injunction, including irreparable harm and the equities and public interest strongly favoring enjoining enforcement of the statute.",model_generated,reject,duplication; and not atomic,p7,"[p7] C. Petitioners satisfy the remaining requirements for a preliminary injunction. They, along with Texas adults, are irreparably harmed by the loss of their First Amendment freedoms and the prospect of crippling enforcement proceedings and unrecoverable compliance costs. Moreover, the equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete—just as was true for the comparable laws in Reno and Ashcroft.",two issues combined and each of the two was captured in the next two rows respectively
LP_017,23-1122,petitioner,23-1122-petitioners,Llama-3.1-8B-Instruct,The equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete.,model_generated,accept,,p7,"[p7] C. Petitioners satisfy the remaining requirements for a preliminary injunction. They, along with Texas adults, are irreparably harmed by the loss of their First Amendment freedoms and the prospect of crippling enforcement proceedings and unrecoverable compliance costs. Moreover, the equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete—just as was true for the comparable laws in Reno and Ashcroft.",
LP_018,23-1122,petitioner,23-1122-petitioners,Llama-3.1-8B-Instruct,Petitioners suffer irreparable harm from the loss of their First Amendment freedoms.,model_generated,accept,,p7,"[p7] C. Petitioners satisfy the remaining requirements for a preliminary injunction. They, along with Texas adults, are irreparably harmed by the loss of their First Amendment freedoms and the prospect of crippling enforcement proceedings and unrecoverable compliance costs. Moreover, the equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete—just as was true for the comparable laws in Reno and Ashcroft.",
LP_019,23-1122,petitioner,23-1122-petitioners,Llama-3.1-8B-Instruct,The equities favor enjoining enforcement of the statute until the litigation is complete.,model_generated,reject,duplication,p7,"[p7] C. Petitioners satisfy the remaining requirements for a preliminary injunction. They, along with Texas adults, are irreparably harmed by the loss of their First Amendment freedoms and the prospect of crippling enforcement proceedings and unrecoverable compliance costs. Moreover, the equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete—just as was true for the comparable laws in Reno and Ashcroft.","duplicate (same proposition, phrased slightly different in  row 15 was accepted"
LP_020,23-1122,petitioner,23-1122-petitioners,Llama-3.1-8B-Instruct,"Petitioners, along with Texas adults, are irreparably harmed by the prospect of crippling enforcement proceedings and unrecoverable compliance costs.",model_generated,accept,,p7,"[p7] C. Petitioners satisfy the remaining requirements for a preliminary injunction. They, along with Texas adults, are irreparably harmed by the loss of their First Amendment freedoms and the prospect of crippling enforcement proceedings and unrecoverable compliance costs. Moreover, the equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete—just as was true for the comparable laws in Reno and Ashcroft.",
LP_021,23-1122,petitioner,23-1122-petitioners,Llama-3.1-8B-Instruct,Enjoining enforcement of the statute until the litigation is complete is comparable to the treatment of similar laws in Reno and Ashcroft.,model_generated,accept,,p7,"[p7] C. Petitioners satisfy the remaining requirements for a preliminary injunction. They, along with Texas adults, are irreparably harmed by the loss of their First Amendment freedoms and the prospect of crippling enforcement proceedings and unrecoverable compliance costs. Moreover, the equities and public interest strongly favor enjoining enforcement of the statute until the litigation is complete—just as was true for the comparable laws in Reno and Ashcroft.",precedent application
LP_022,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,A State may impose an age-verification requirement on websites trafficking in hardcore pornography.,model_generated,accept,,p2;p4,"[p2] I. The Fifth Circuit followed Ginsberg and Sable. Where the level of constitutional scrutiny depends on the nature of the audience, Sable allows a State to put the onus on the speaker to serve as the gatekeeper. And Ginsberg—which upheld a State’s power to require brick-and-mortar retailers to prevent children from viewing obscenity—employs a rational-basis test.

[p4] Nor did Ashcroft II overrule Sable and Ginsberg. Because it is just as easy for websites to ensure that those wishing to gamble, buy alcohol, or view pornography are adults as it is for brick-and-mortar shopkeepers, Texas acted well within its police power by imposing that requirement on websites trafficking in hardcore pornography. And if Ashcroft II prevents Texas from requiring Petitioners to use the same age-verification services as comparable websites, Ashcroft II must be overruled. Reliable age verification was not on the table twenty years ago. That is not remotely true today.",
LP_023,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,the Fifth Circuit followed Ginsbert and Sable where the level of constitutional security depends on the nature of the audience.,expert_added,not_applicable,,p2;p4,"[p2] I. The Fifth Circuit followed Ginsberg and Sable. Where the level of constitutional scrutiny depends on the nature of the audience, Sable allows a State to put the onus on the speaker to serve as the gatekeeper. And Ginsberg—which upheld a State’s power to require brick-and-mortar retailers to prevent children from viewing obscenity—employs a rational-basis test.

[p4] Nor did Ashcroft II overrule Sable and Ginsberg. Because it is just as easy for websites to ensure that those wishing to gamble, buy alcohol, or view pornography are adults as it is for brick-and-mortar shopkeepers, Texas acted well within its police power by imposing that requirement on websites trafficking in hardcore pornography. And if Ashcroft II prevents Texas from requiring Petitioners to use the same age-verification services as comparable websites, Ashcroft II must be overruled. Reliable age verification was not on the table twenty years ago. That is not remotely true today.",
LP_024,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,H.B. 1181 is not 'content based' because it asks whether the content is constitutionally protected in the first place.,model_generated,accept,,p3,"[p3] Petitioners offer a bevy of counterarguments, but each misfires. H.B. 1181 is not “content based” because the question it asks is whether the content is constitutionally protected in the first place. Such threshold determinations have never been subjected to strict-scrutiny review. See, e.g., United States v. Stevens, 559 U.S. 460, 468-69 (2010). Otherwise, a State could not criminalize speech that facilitates crime without triggering strict scrutiny. And the suggestion that States cannot express disapproval of obscenity—a “valueless” category of speech, Counterman v. Colorado, 600 U.S. 66, 73 (2023)—turns the First Amendment on its head.",
LP_025,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,Threshold determinations of constitutionally protected speech have never been subjected to strict-scrutiny review.,model_generated,accept,,p3,"[p3] Petitioners offer a bevy of counterarguments, but each misfires. H.B. 1181 is not “content based” because the question it asks is whether the content is constitutionally protected in the first place. Such threshold determinations have never been subjected to strict-scrutiny review. See, e.g., United States v. Stevens, 559 U.S. 460, 468-69 (2010). Otherwise, a State could not criminalize speech that facilitates crime without triggering strict scrutiny. And the suggestion that States cannot express disapproval of obscenity—a “valueless” category of speech, Counterman v. Colorado, 600 U.S. 66, 73 (2023)—turns the First Amendment on its head.",
LP_026,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,States may express disapproval of obscenity without triggering strict scrutiny.,model_generated,accept,,p3,"[p3] Petitioners offer a bevy of counterarguments, but each misfires. H.B. 1181 is not “content based” because the question it asks is whether the content is constitutionally protected in the first place. Such threshold determinations have never been subjected to strict-scrutiny review. See, e.g., United States v. Stevens, 559 U.S. 460, 468-69 (2010). Otherwise, a State could not criminalize speech that facilitates crime without triggering strict scrutiny. And the suggestion that States cannot express disapproval of obscenity—a “valueless” category of speech, Counterman v. Colorado, 600 U.S. 66, 73 (2023)—turns the First Amendment on its head.",
LP_027,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,Ashcroft II does not prevent Texas from requiring websites to use the same age-verification services as comparable websites.,model_generated,accept,,p4,"[p4] Nor did Ashcroft II overrule Sable and Ginsberg. Because it is just as easy for websites to ensure that those wishing to gamble, buy alcohol, or view pornography are adults as it is for brick-and-mortar shopkeepers, Texas acted well within its police power by imposing that requirement on websites trafficking in hardcore pornography. And if Ashcroft II prevents Texas from requiring Petitioners to use the same age-verification services as comparable websites, Ashcroft II must be overruled. Reliable age verification was not on the table twenty years ago. That is not remotely true today.",
LP_028,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,"Reliable age verification was not on the table twenty years ago, but it is today.",model_generated,accept,,p4,"[p4] Nor did Ashcroft II overrule Sable and Ginsberg. Because it is just as easy for websites to ensure that those wishing to gamble, buy alcohol, or view pornography are adults as it is for brick-and-mortar shopkeepers, Texas acted well within its police power by imposing that requirement on websites trafficking in hardcore pornography. And if Ashcroft II prevents Texas from requiring Petitioners to use the same age-verification services as comparable websites, Ashcroft II must be overruled. Reliable age verification was not on the table twenty years ago. That is not remotely true today.",keep - contestable factual premise for a legal proposition
LP_029,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,"Even if heightened scrutiny applied, H.B. 1181 would clear even strict scrutiny.",model_generated,reject,conclusion; duplication,p5,"[p5] II. Even if heightened scrutiny applied, the preliminary injunction would still fail. Any heightened standard could only be intermediate scrutiny, but H.B. 1181 would clear even strict scrutiny. Not only is Texas’s interest overwhelming, H.B. 1181 focuses on websites causing the most harm to children. And as more than two decades of failed filtering confirms, Texas cannot vindicate its interest in any other way.",too conclusion like and the reasoning is covered by other propositions
LP_030,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,Texas's interest in protecting children from hardcore pornography is overwhelming.,model_generated,accept,,p5,"[p5] II. Even if heightened scrutiny applied, the preliminary injunction would still fail. Any heightened standard could only be intermediate scrutiny, but H.B. 1181 would clear even strict scrutiny. Not only is Texas’s interest overwhelming, H.B. 1181 focuses on websites causing the most harm to children. And as more than two decades of failed filtering confirms, Texas cannot vindicate its interest in any other way.",
LP_031,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,H.B. 1181 focuses on websites causing the most harm to children.,model_generated,accept,,p5,"[p5] II. Even if heightened scrutiny applied, the preliminary injunction would still fail. Any heightened standard could only be intermediate scrutiny, but H.B. 1181 would clear even strict scrutiny. Not only is Texas’s interest overwhelming, H.B. 1181 focuses on websites causing the most harm to children. And as more than two decades of failed filtering confirms, Texas cannot vindicate its interest in any other way.",
LP_032,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,History has shown that Texas cannot vindicate its interest in any other way.,expert_added,not_applicable,,p5,"[p5] II. Even if heightened scrutiny applied, the preliminary injunction would still fail. Any heightened standard could only be intermediate scrutiny, but H.B. 1181 would clear even strict scrutiny. Not only is Texas’s interest overwhelming, H.B. 1181 focuses on websites causing the most harm to children. And as more than two decades of failed filtering confirms, Texas cannot vindicate its interest in any other way.",
LP_033,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,Texas may focus on its most pressing concerns and need not address all aspects of the problem in one fell swoop.,model_generated,accept,,p6,"[p6] Again, Petitioners’ counterarguments fail. They say that H.B. 1181 is not narrowly tailored because Texas does not regulate every website where obscenity is available. Yet Texas “may focus on [its] most pressing concerns” and “need not address all aspects of [the] problem in one fell swoop.” Williams-Yulee v. Fla. Bar, 575 U.S. 433, 449 (2015). Petitioners also urge content filtering but cannot show it is “at least as effective” as age verification. Reno, 521 U.S. at 874. To the contrary, despite widespread availability, filtering “has proven an ineffective mechanism.” J.A.207.",
LP_034,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,Content filtering has proven an ineffective mechanism for regulating access to hardcore pornography.,model_generated,accept,,p6,"[p6] Again, Petitioners’ counterarguments fail. They say that H.B. 1181 is not narrowly tailored because Texas does not regulate every website where obscenity is available. Yet Texas “may focus on [its] most pressing concerns” and “need not address all aspects of [the] problem in one fell swoop.” Williams-Yulee v. Fla. Bar, 575 U.S. 433, 449 (2015). Petitioners also urge content filtering but cannot show it is “at least as effective” as age verification. Reno, 521 U.S. at 874. To the contrary, despite widespread availability, filtering “has proven an ineffective mechanism.” J.A.207.",
LP_035,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,A facial challenge requires a plaintiff to show that the law is unconstitutional in all of its applications.,model_generated,accept,,p7,"[p7] III. Petitioners also cannot successfully bring a facial challenge. Because such challenges “rest on speculation” about how a law will be interpreted and what the facts will reveal, a plaintiff ordinarily must show that the law is “unconstitutional in all of its applications.” Wash. State Grange v. Wash. State Republican Party, 552 U.S. 442, 449-50 (2008). Although the Court has shown greater solicitude to free-speech claims, see, e.g., NetChoice, 144 S.Ct. at 2397, a facial injunction blocking enforcement of a state law is “strong medicine” presenting significant separation-of-powers concerns, Broadrick v. Oklahoma, 413 U.S. 601, 613 (1973).",
LP_036,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,A facial injunction blocking enforcement of a state law is strong medicine presenting significant separation-of-powers concerns.,model_generated,accept,,p7,"[p7] III. Petitioners also cannot successfully bring a facial challenge. Because such challenges “rest on speculation” about how a law will be interpreted and what the facts will reveal, a plaintiff ordinarily must show that the law is “unconstitutional in all of its applications.” Wash. State Grange v. Wash. State Republican Party, 552 U.S. 442, 449-50 (2008). Although the Court has shown greater solicitude to free-speech claims, see, e.g., NetChoice, 144 S.Ct. at 2397, a facial injunction blocking enforcement of a state law is “strong medicine” presenting significant separation-of-powers concerns, Broadrick v. Oklahoma, 413 U.S. 601, 613 (1973).",
LP_037,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,Petitioners have not come close to meeting their burden in a facial challenge.,model_generated,reject,conclusion,p7;p8,"[p7] III. Petitioners also cannot successfully bring a facial challenge. Because such challenges “rest on speculation” about how a law will be interpreted and what the facts will reveal, a plaintiff ordinarily must show that the law is “unconstitutional in all of its applications.” Wash. State Grange v. Wash. State Republican Party, 552 U.S. 442, 449-50 (2008). Although the Court has shown greater solicitude to free-speech claims, see, e.g., NetChoice, 144 S.Ct. at 2397, a facial injunction blocking enforcement of a state law is “strong medicine” presenting significant separation-of-powers concerns, Broadrick v. Oklahoma, 413 U.S. 601, 613 (1973).

[p8] Petitioners have not come close to meeting their burden. Even on the incomplete record before the Court, much of the content here is plainly obscene—and thus constitutionally unprotected—even for adults. The district court, however, committed a more egregious version of the error identified in NetChoice. Not only did it fail to consider each application of H.B. 1181, it did not even consider H.B. 1181’s heartland. Instead, it speculated about hypothetical applications while refusing to review the content squarely at issue. Petitioners, however, cannot complain that their adult customers’ constitutional rights have been chilled based on content that those customers have no constitutional right to view.",too conclusion and abstract
LP_038,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,The district court erred in failing to consider each application of H.B. 1181 and its heartland.,model_generated,accept,,p8,"[p8] Petitioners have not come close to meeting their burden. Even on the incomplete record before the Court, much of the content here is plainly obscene—and thus constitutionally unprotected—even for adults. The district court, however, committed a more egregious version of the error identified in NetChoice. Not only did it fail to consider each application of H.B. 1181, it did not even consider H.B. 1181’s heartland. Instead, it speculated about hypothetical applications while refusing to review the content squarely at issue. Petitioners, however, cannot complain that their adult customers’ constitutional rights have been chilled based on content that those customers have no constitutional right to view.",
LP_039,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,Petitioners cannot complain that their adult customers' constitutional rights have been chilled based on content that those customers have no constitutional right to view.,model_generated,accept,,p8,"[p8] Petitioners have not come close to meeting their burden. Even on the incomplete record before the Court, much of the content here is plainly obscene—and thus constitutionally unprotected—even for adults. The district court, however, committed a more egregious version of the error identified in NetChoice. Not only did it fail to consider each application of H.B. 1181, it did not even consider H.B. 1181’s heartland. Instead, it speculated about hypothetical applications while refusing to review the content squarely at issue. Petitioners, however, cannot complain that their adult customers’ constitutional rights have been chilled based on content that those customers have no constitutional right to view.",
LP_040,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,A facial challenge to a law requires showing that the law is unconstitutional in all of its applications.,model_generated,reject,duplication,p7,"[p7] III. Petitioners also cannot successfully bring a facial challenge. Because such challenges “rest on speculation” about how a law will be interpreted and what the facts will reveal, a plaintiff ordinarily must show that the law is “unconstitutional in all of its applications.” Wash. State Grange v. Wash. State Republican Party, 552 U.S. 442, 449-50 (2008). Although the Court has shown greater solicitude to free-speech claims, see, e.g., NetChoice, 144 S.Ct. at 2397, a facial injunction blocking enforcement of a state law is “strong medicine” presenting significant separation-of-powers concerns, Broadrick v. Oklahoma, 413 U.S. 601, 613 (1973).",version in row 37 is better
LP_041,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,"A plaintiff bringing a facial challenge must show that the law is unconstitutional in all of its applications, especially for free-speech claims.",model_generated,accept,,p7,"[p7] III. Petitioners also cannot successfully bring a facial challenge. Because such challenges “rest on speculation” about how a law will be interpreted and what the facts will reveal, a plaintiff ordinarily must show that the law is “unconstitutional in all of its applications.” Wash. State Grange v. Wash. State Republican Party, 552 U.S. 442, 449-50 (2008). Although the Court has shown greater solicitude to free-speech claims, see, e.g., NetChoice, 144 S.Ct. at 2397, a facial injunction blocking enforcement of a state law is “strong medicine” presenting significant separation-of-powers concerns, Broadrick v. Oklahoma, 413 U.S. 601, 613 (1973).",
LP_042,23-1122,respondent,23-1122-respondents,Llama-3.1-8B-Instruct,A facial injunction blocking enforcement of a state law is strong medicine presenting significant separation-of-powers concerns.,model_generated,accept,,p7,"[p7] III. Petitioners also cannot successfully bring a facial challenge. Because such challenges “rest on speculation” about how a law will be interpreted and what the facts will reveal, a plaintiff ordinarily must show that the law is “unconstitutional in all of its applications.” Wash. State Grange v. Wash. State Republican Party, 552 U.S. 442, 449-50 (2008). Although the Court has shown greater solicitude to free-speech claims, see, e.g., NetChoice, 144 S.Ct. at 2397, a facial injunction blocking enforcement of a state law is “strong medicine” presenting significant separation-of-powers concerns, Broadrick v. Oklahoma, 413 U.S. 601, 613 (1973).",this should be an accept not an reject
